id,Роль сотрудника,ФИО,Логин,Пароль
1,Администратор,Никифорова Весения Николаевна,94d5ous@gmail.com,uzWC67
2,Администратор,Сазонов Руслан Германович,uth4iz@mail.com,2L6KZG
3,Администратор,Одинцов Серафим Артёмович,yzls62@outlook.com,JlFRCZ
4,Менеджер,Степанов Михаил Артёмович,1diph5e@tutanota.com,8ntwUp
5,Менеджер,Ворсин Петр Евгеньевич,tjde7c@yahoo.com,YOyhfR
6,Менеджер,Старикова Елена Павловна,wpmrc3do@tutanota.com,RSbvHv
7,Авторизированный клиент,Михайлюк Анна Вячеславовна,5d4zbu@tutanota.com,rwVDh9
8,Авторизированный клиент,Ситдикова Елена Анатольевна,ptec8ym@yahoo.com,LdNyos
9,Авторизированный клиент,Ворсин Петр Евгеньевич,1qz4kw@mail.com,gynQMT
10,Авторизированный клиент,Старикова Елена Павловна,4np6se@mail.com,AtnDjr
